sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Celestyna Erskine,Department C,$73.75,52,9323 Mccormick Trail,Boca Raton,Florida,22c137eef9d011297a9238577437fa67,8/6/2017
Powell Amorts,Department B,$55.53,89,3341 Killdeer Parkway,Richmond,Virginia,5e5ba189cc6683445eb445e94ab7c9f8,11/27/2016
Gothart Whimpenny,Department C,$76.73,36,3 Mifflin Hill,Minneapolis,Minnesota,4ccef9bf7df84625823f1aaa67187fbe,11/7/2016
Shena Reeson,Department B,$17.55,10,8 Pawling Junction,Washington,District of Columbia,184c3dc02d525f814c3c6a2d2ada4875,11/4/2016
Modesty Berringer,Department D,$25.80,88,82171 Sunbrook Place,Omaha,Nebraska,5012f8541662572ce4e8f9c7fb4b2d1b,5/19/2017
Ortensia Le,Department C,$30.46,85,80 Forster Way,New Orleans,Louisiana,cda3158d8d16cae65cb585bf96b2884b,8/15/2017
Powell Amorts,Department B,$70.01,20,0651 Dunning Street,Washington,District of Columbia,c787283e464fb4b06abf6968a075d21b,3/17/2017
Krystle Boothe,Department D,$24.53,81,93 Brickson Park Point,Oklahoma City,Oklahoma,9cea22bfcc28130f7e4a8dcda8c3cf8f,8/22/2017
Linn Becerra,Department B,$13.63,90,47664 Alpine Plaza,Stamford,Connecticut,7763bdc1fb8b3063be965825e42a8769,5/9/2017
Atlante Harower,Department D,$67.94,48,82570 Warner Crossing,San Antonio,Texas,afa9c3711531b75f006b0ad8fd840046,8/6/2016
Modesty Berringer,Department D,$21.40,24,13 Oakridge Drive,Springfield,Missouri,d1b3b9909845f0b00f2a7b49a87821cc,6/1/2017
Linn Becerra,Department B,$52.22,16,43407 Dapin Lane,Oklahoma City,Oklahoma,06079311619c39bcbf63495162265b41,7/6/2017
Powell Amorts,Department B,$44.74,28,59486 Melvin Road,Savannah,Georgia,df455477f995d0aec92130f6f6243157,6/19/2016
Bartholemy Kment,Department B,$40.71,61,060 Browning Place,Chicago,Illinois,88e6843aa6e901c6c7063a536d7908c3,6/13/2016
Ashleigh Baudinot,Department D,$33.90,96,49892 Schiller Avenue,Denver,Colorado,24024a454a2f07662afe29ea4c248d20,6/13/2017
Linn Becerra,Department B,$93.79,43,01 Onsgard Way,Denton,Texas,c90e5a312112eb8d5e22f9af634a162d,10/1/2016
Nell Lindup,Department C,$84.21,69,8 Jenifer Alley,Houston,Texas,fa7b188c17aabb9af2e4a016e76ed263,5/20/2017
Powell Amorts,Department B,$95.04,29,564 Bunting Road,Atlanta,Georgia,cd0481bfdd03602478316d6352cee563,8/23/2016
Powell Amorts,Department B,$66.04,19,902 Valley Edge Street,Saint Louis,Missouri,b68eea1341fba266e95167f53b64888b,3/17/2016
Shena Reeson,Department B,$60.90,67,5 Reindahl Avenue,Murfreesboro,Tennessee,10ca604472a43a15689cc0dcf045c61c,9/22/2016
Ignacio Arpur,Department A,$41.08,58,2481 Westridge Road,Canton,Ohio,1638186b013a490eba0945796f0caa69,6/25/2016
Ashleigh Baudinot,Department D,$9.44,3,5 Sachs Court,Daytona Beach,Florida,d70f630b55e6c3d3454201f1856deacb,6/22/2017
Ignacio Arpur,Department A,$98.20,22,664 Holmberg Alley,Houston,Texas,da524362f5f676b35fe0ea36d7c9a3e3,5/23/2017
Zebedee Kedge,Department A,$46.06,34,568 Westerfield Pass,San Francisco,California,782c415266bccb1b5e49dd839445ff8e,7/28/2017
Jacquette Oakley,Department C,$70.61,47,0442 West Place,Kansas City,Missouri,9dbc72200416345293d572bf791e5719,11/14/2016
Bartholemy Kment,Department B,$88.29,56,6 Hanover Court,Daytona Beach,Florida,42aead7a39140f2a8ab36c1a6e9ca9d2,5/7/2016
Ashleigh Baudinot,Department D,$53.76,92,738 Haas Center,Lincoln,Nebraska,d841ef9545ac94e779908daae3176e8a,1/30/2016
Gothart Whimpenny,Department C,$6.20,26,82420 Katie Circle,Merrifield,Virginia,426782d83ed2215a76c44f6788b813bb,3/20/2016
Shena Reeson,Department B,$84.39,61,4 Fulton Lane,Orlando,Florida,578139d80ac777c26cd118a96d874428,10/15/2016
Chad Yeatman,Department A,$6.94,82,91657 Menomonie Place,Greeley,Colorado,6b6db403b12b9a67c57877c56330ff0e,10/21/2016
Atlante Harower,Department D,$71.11,56,40 Oak Park,Norwalk,Connecticut,443e51315fa0d0a24fef95e4b44ac7e3,4/22/2016
Linn Becerra,Department B,$63.02,41,98 Leroy Trail,Memphis,Tennessee,83069798dc5dd9c56cfeda715e7b3c7f,2/26/2017
Celestyna Erskine,Department C,$64.24,55,7806 Bayside Crossing,Des Moines,Iowa,00bf18cd4d290ffe85424f3e180783e4,1/29/2017
Krystle Boothe,Department D,$80.15,28,703 Upham Road,Peoria,Illinois,592c9c8ccf2faeb601f4f74f0b03db8c,8/23/2017
Zaneta Delmage,Department B,$43.98,63,7003 Schmedeman Plaza,Lexington,Kentucky,1a220de8fbd64fc3ce804a386254d828,8/14/2016
Dallas Le,Department B,$58.85,20,774 Dixon Pass,Roanoke,Virginia,31c9c46ceddafd0489b6ae90e186991b,5/13/2017
Celestyna Erskine,Department C,$33.78,53,442 Lakewood Street,Houston,Texas,0b89dd0bd541d4751c76991c2c7df706,11/2/2016
Shena Reeson,Department B,$78.46,45,53740 Mallory Center,Levittown,Pennsylvania,c17b5017328c861e2262d71f31861d56,1/14/2016
Celestyna Erskine,Department C,$17.35,99,98095 Fieldstone Place,Port Charlotte,Florida,917f117b0cc24a64def167c4aa05cc98,6/1/2017
Chad Yeatman,Department A,$68.04,45,9 Rusk Circle,Atlanta,Georgia,fbdf18831f3d4a367a6812d37022a6db,2/8/2016
Ignacio Arpur,Department A,$99.98,70,0 Shopko Way,Springfield,Illinois,755f009b11d444383dcc37f1f344b634,1/1/2016
Atlante Harower,Department D,$80.50,51,8339 Meadow Ridge Point,San Diego,California,f80f600c659bde9a052e4f467da9d53d,10/7/2016
Atlante Harower,Department D,$73.52,5,75607 Michigan Circle,Las Vegas,Nevada,56fa5c75f8d172bc34a9a35639440fbd,12/4/2016
Brear Fairs,Department D,$81.66,6,41069 Luster Parkway,New York City,New York,f9281217a5e4bbcc90fb7fc1cf6a0d51,5/15/2016
Bartholemy Kment,Department B,$92.60,69,79739 Messerschmidt Trail,Des Moines,Iowa,5f69434c5effaf5b94a088104b829b10,4/8/2016
Rutherford Kermath,Department D,$22.65,1,57 Daystar Plaza,Minneapolis,Minnesota,aa0abd1f7a62d5f108ee12ca990db141,3/24/2016
Zebedee Kedge,Department A,$26.18,49,20 Warrior Trail,Lake Worth,Florida,173bbc0c7f59aa9f875231b07ced9e6d,2/24/2016
Zebedee Kedge,Department A,$69.90,6,55 Cherokee Parkway,Laredo,Texas,3972db2c078292cfca19adc66466ec0f,2/17/2016
Modesty Berringer,Department D,$74.23,94,3 Burning Wood Center,Peoria,Illinois,ad9c6d04e242ef0eb26152c94a24151a,9/30/2016
Zebedee Kedge,Department A,$19.58,21,891 Pine View Point,Chicago,Illinois,2f3e599b25189a7a16212a85e2c079cd,5/12/2016
Jacquette Oakley,Department C,$45.90,10,202 Shelley Parkway,Las Vegas,Nevada,b03bdef6d5a97ba662cc0a63eb794d2f,7/21/2017
Rutherford Kermath,Department D,$87.63,28,25 Carey Terrace,Baton Rouge,Louisiana,673dabfa39d57123cabc4c09f29754c0,4/20/2017
Shane Simkins,Department B,$23.79,91,813 Boyd Crossing,Sioux Falls,South Dakota,3f38c8831d440b33bf33d2090c6bef09,8/4/2016
Bartholemy Kment,Department B,$58.45,21,46122 Anniversary Road,Orlando,Florida,d5e545400080f911fc196c5b013a668c,9/26/2016
Chad Yeatman,Department A,$86.62,56,8729 Walton Crossing,Portland,Oregon,53d332d676f5d8b4333e77737a7b0018,8/24/2016
Ortensia Le,Department C,$92.20,66,8818 Crowley Road,Portsmouth,Virginia,0b0851bddea38e8c58cd11ee882ca78c,3/31/2017
Krystle Boothe,Department D,$99.33,69,912 Grover Place,Grand Rapids,Michigan,9a44bcd660176f71a07687ec4bef5020,6/1/2017
Bartholemy Kment,Department B,$96.85,10,972 Fremont Plaza,Alexandria,Virginia,395f61ed2fcac5b5eb27a43b280d04fd,3/11/2016
Shane Simkins,Department B,$94.64,46,33238 3rd Circle,New Castle,Pennsylvania,3730d466ba2173389e19d39b47226023,6/11/2017
Ortensia Le,Department C,$4.07,15,94 Ludington Place,Saint Louis,Missouri,3ed5434c75e25bb7a1bc3d4f961afad8,11/19/2016
Ashleigh Baudinot,Department D,$81.59,65,858 Clarendon Crossing,Utica,New York,6f5da6309bf0f06b53584960b60d425a,8/11/2017
Atlante Harower,Department D,$15.63,99,21441 Shasta Park,Shawnee Mission,Kansas,722173764849ed742bb928093779a0e4,9/21/2016
Zaneta Delmage,Department B,$46.56,15,985 Del Sol Pass,San Francisco,California,87bb6b6599e9f9ce3524006225e88280,5/13/2017
Modesty Berringer,Department D,$19.90,3,94601 Ohio Circle,Cedar Rapids,Iowa,0a0d9d55b75e9270ba141f2c3bb34bab,7/15/2016
,,,72,353 Drewry Avenue,Philadelphia,Pennsylvania,d96db3fa4145aa3eb3f89feed9150a5c,10/28/2016
Powell Amorts,Department B,$17.55,19,4 Gulseth Hill,Aurora,Colorado,b7809d8ea1740dfa93c2a08cfe5c84af,3/10/2016
Nell Lindup,Department C,$9.80,58,695 Merry Way,New York City,New York,a7b2529b7d6c63286af3ceacbeb7e8e0,7/23/2016
Nell Lindup,Department C,$38.49,31,50021 Fallview Parkway,Petaluma,California,5975845ff7608945566d738930ae140f,6/5/2017
Bartholemy Kment,Department B,$68.83,87,2971 Harbort Place,Garden Grove,California,6e4d2d93441db26632e419c175374386,12/5/2016
Brear Fairs,Department D,$50.47,78,68 Heath Lane,Springfield,Massachusetts,f928c58fc71f03c475db14c7f81254d8,9/23/2016
Shena Reeson,Department B,$41.52,7,6495 Westport Drive,Amarillo,Texas,26ffe25c6992d98bbe6a2d174f3b5143,9/13/2016
Celestyna Erskine,Department C,$78.29,8,12455 Dryden Avenue,Jamaica,New York,e363001ed875acbb195b81fa0aca4240,1/20/2017
Brear Fairs,Department D,$27.11,11,1843 Atwood Circle,Fort Worth,Texas,83b0495d6900287db068b6d15c6c9424,6/14/2017
Brear Fairs,Department D,$0.38,66,2293 Cherokee Parkway,Miami,Florida,2d2026a791d5b841d33d62f407246df6,11/5/2016
Shena Reeson,Department B,$61.18,75,40 Nova Avenue,Allentown,Pennsylvania,990d3784b1f88447890264c6ad918a76,9/30/2016
Shena Reeson,Department B,$56.91,45,03618 Independence Parkway,Lexington,Kentucky,20ee3c8e3c2c2979f02760ecfb2f15d7,3/15/2016
Linn Becerra,Department B,$59.25,30,69 Randy Point,Houston,Texas,f745a2c02c7c837c8b457e870a3cc33b,6/7/2017
Celestyna Erskine,Department C,$30.29,73,0 Bultman Plaza,Indianapolis,Indiana,748e6175e8642ac7385ab926757a8952,1/19/2016
Linn Becerra,Department B,$98.02,67,8625 Esker Road,Springfield,Illinois,16376512db90aa19072b0119e1e3bf16,6/16/2017
Dallas Le,Department B,$80.49,45,1 Graedel Pass,Chicago,Illinois,a27f25bb7c79494c14a497f29b20066b,4/25/2016
,,,4,903 Chinook Place,Miami,Florida,2a849c7bbff622fdad46179f025d8ced,1/28/2016
Ashleigh Baudinot,Department D,$48.74,82,737 Messerschmidt Way,Omaha,Nebraska,b7a1526e2f58e9f8b3ff4a97cabf8580,1/15/2017
Chad Yeatman,Department A,$47.93,78,0 Dixon Lane,Washington,District of Columbia,7a457c02354030f67179df33903945e9,3/30/2016
Powell Amorts,Department B,$26.66,33,6 Graedel Alley,Cincinnati,Ohio,f7471c45d0095adeb9a8857ac130ed1f,3/29/2017
Chad Yeatman,Department A,$50.00,45,37012 Waywood Center,Naples,Florida,c29f01ba92ba5fbbc88443fdf252b494,8/3/2016
Ashleigh Baudinot,Department D,$20.70,76,70408 Logan Crossing,New York City,New York,bc733a9d1db6c3c0edcae8231d9fe563,1/3/2016
Celestyna Erskine,Department C,$39.91,50,722 Kensington Park,Huntington,West Virginia,f89ee8d8c9d883cb0baf023fa1d8ecbd,4/4/2016
Bartholemy Kment,Department B,$90.82,31,41373 Spaight Pass,El Paso,Texas,27ffb04936cdeed3c0db5a3c0bf31454,4/18/2017
Zebedee Kedge,Department A,$32.18,75,38 Lien Pass,Evansville,Indiana,66a24166947b57189eccec47191b43f7,4/23/2017
Nell Lindup,Department C,$29.44,87,8798 Old Gate Drive,Columbus,Ohio,5741790b27d95e8b3b2d67bdc91a122c,3/4/2017
Ortensia Le,Department C,$62.93,94,762 Tomscot Alley,Macon,Georgia,6327ea5f84eac3b4cfa77364d84d53b0,4/1/2016
Dallas Le,Department B,$25.26,80,0907 Valley Edge Junction,Fredericksburg,Virginia,7dcc8aa22a7ee7de8724bd2fabc89051,8/5/2017
Rutherford Kermath,Department D,$61.13,39,95 Lerdahl Lane,Kansas City,Missouri,28c65e5e1470a4b25fc1c45ce597fe46,6/18/2017
Ashleigh Baudinot,Department D,$28.67,31,0642 Vernon Terrace,Des Moines,Iowa,41e1979cd74bdabb829b4f9a07fc118e,7/26/2017
Zebedee Kedge,Department A,$91.70,9,63 Fairview Place,Atlanta,Georgia,52f73ebd2e95bf4e5d26771f43d4162b,10/25/2016
Ortensia Le,Department C,$38.97,22,6769 Crescent Oaks Street,Washington,District of Columbia,1150ee246e9f82ca545fd2774f1afa0b,11/10/2016
Modesty Berringer,Department D,$43.47,2,900 Brickson Park Junction,Miami,Florida,21693e718a7c41cb3ae4996953ef8031,3/27/2016
Brear Fairs,Department D,$52.19,67,26474 Crownhardt Junction,South Bend,Indiana,1f5f532714245684d8163317547ad86b,1/22/2017
Krystle Boothe,Department D,$38.86,62,35290 Logan Pass,Oakland,California,c0eccd80f83909f661e007f8b9c88b66,9/28/2016
Celestyna Erskine,Department C,$78.30,81,1844 Commercial Street,Portland,Oregon,1b879b675af1a672196a2602d3712a09,6/24/2017
Brear Fairs,Department D,$65.06,88,66 Butterfield Park,Phoenix,Arizona,55b052cd50deb07a25e8a5bc255ec967,8/9/2016
Rutherford Kermath,Department D,$16.58,77,7 Crownhardt Park,Erie,Pennsylvania,c85e90f91ac20d74988dedb98814c68a,6/20/2017
Powell Amorts,Department B,$75.83,44,725 Upham Road,Washington,District of Columbia,f1fae9e87c9349fe1adf1e0bb2988431,6/25/2017
Rutherford Kermath,Department D,$36.62,97,58996 West Junction,Atlanta,Georgia,aa3486bfc57548e99abc97bf9766b8a4,7/23/2017
Krystle Boothe,Department D,$66.06,67,53889 Hollow Ridge Crossing,Galveston,Texas,9a44c4913fed2cfd5a91cdfe40853d41,8/19/2017
Krystle Boothe,Department D,$0.65,27,382 Almo Junction,Indianapolis,Indiana,9cc433419354862813915e37d03e91c2,9/30/2016
Zebedee Kedge,Department A,$61.81,97,45539 Menomonie Street,Pompano Beach,Florida,de998f1ba9dc5b2bf0bb75d1b17162fb,10/18/2016
Shane Simkins,Department B,$41.12,81,6 Anthes Park,Jamaica,New York,2ac17560688865c4c90e484f95c873a0,5/31/2016
,,,29,00146 Tomscot Trail,Columbia,South Carolina,663ec213af5c00969e9bc54bc39a8a94,8/21/2016
Shane Simkins,Department B,$64.68,44,7 Shasta Hill,New Haven,Connecticut,92c067043b951c5b99eded822a98cd88,3/2/2017
Shena Reeson,Department B,$57.52,84,361 Southridge Court,Huntington,West Virginia,f6f360dc4af1a27ffea2de9ab1351fc4,3/19/2016
Zebedee Kedge,Department A,$57.01,25,27541 Forest Run Road,Englewood,Colorado,5df30e63220986544b1e87a013a25053,4/28/2017
Linn Becerra,Department B,$77.80,29,74730 Del Mar Lane,Rochester,New York,6e99bd790325f0b5c95ca8c67215ce9b,4/17/2017
Celestyna Erskine,Department C,$68.51,49,054 Starling Point,Columbus,Ohio,69166ed4baf1fa675f344daf2ff796ce,11/25/2016
Chad Yeatman,Department A,$74.18,37,77399 Jay Road,Birmingham,Alabama,005ca845bdd2988559c10b605fefb0c6,7/13/2017
Atlante Harower,Department D,$44.32,6,97 Surrey Road,Tulsa,Oklahoma,84c1a43bc68fdf01dd118f38d3440b1f,12/16/2016
Celestyna Erskine,Department C,$32.43,64,360 Lighthouse Bay Drive,Dallas,Texas,e460c43b61207b1f5a0274bb6f9f12b3,3/11/2016
Ortensia Le,Department C,$64.87,95,2 Holmberg Place,Rochester,New York,b66c4582e9ec88b97b732c1c46c36683,4/18/2017
Dallas Le,Department B,$15.56,51,823 Lakewood Gardens Junction,Mesquite,Texas,a67e3e200412fde59e2a12b5abc66458,4/1/2016
Powell Amorts,Department B,$99.68,21,25 Porter Drive,San Jose,California,d591d059017cb003eef429c900a84e48,6/5/2017
Zaneta Delmage,Department B,$27.99,11,18 Forest Dale Circle,Marietta,Georgia,c937bcd8630fbe4816990dfa10c517ea,7/16/2016
Jacquette Oakley,Department C,$84.65,58,636 Saint Paul Drive,Dayton,Ohio,8a24920be560b91cfa33ec96844ca9e6,8/19/2016
,,,85,0452 Crownhardt Lane,Reno,Nevada,97a752c9f2066ee6b353746f4f78ad4d,5/28/2017
Ignacio Arpur,Department A,$92.40,77,897 Karstens Street,Little Rock,Arkansas,322c88df1c064722c52424efe1628234,8/6/2017
Gothart Whimpenny,Department C,$98.44,85,524 Fordem Road,Washington,District of Columbia,846cfd6748d48b194590ca17ec40aebd,2/14/2016
Celestyna Erskine,Department C,$36.19,99,41 Carey Point,Cincinnati,Ohio,9f01feebd3bda009fda72f37755ffd58,1/2/2016
Ortensia Le,Department C,$99.21,2,4661 Spohn Alley,Fresno,California,1dcbf767651c77d1358966e91ddc3a0f,5/4/2017
Atlante Harower,Department D,$11.36,25,92 Oriole Street,Pittsburgh,Pennsylvania,0a5c7ea87769ea13ccfbd595daca0859,12/27/2016
Modesty Berringer,Department D,$42.73,39,19 South Crossing,New York City,New York,263133e1385055633eb4c1981ac8a6e6,8/21/2017
Nell Lindup,Department C,$67.91,63,07 Knutson Terrace,Mount Vernon,New York,11bdb7088167f01d0f1576777babc885,11/5/2016
Rutherford Kermath,Department D,$90.80,99,4 Wayridge Lane,Washington,District of Columbia,1bd1d91618e4d0f97a35aaaa9bb27bce,9/10/2016
Modesty Berringer,Department D,$59.88,41,522 Arrowood Pass,Lafayette,Indiana,6a9ef37fef143149b6ad1aa33de1ccc4,9/28/2016
Powell Amorts,Department B,$47.90,97,0 Rusk Center,Detroit,Michigan,2ce326e3e70e890d955c7f15e0497ec6,6/4/2016
Zaneta Delmage,Department B,$96.10,68,7078 Wayridge Pass,Rochester,New York,59f2b0183642881826dab46a9ff1742c,5/17/2017
Chad Yeatman,Department A,$29.42,94,648 Larry Circle,Gadsden,Alabama,bea53ab2f16d871366c9460d39a7c389,7/27/2017
Modesty Berringer,Department D,$61.67,81,319 Darwin Place,Denver,Colorado,21c5defd3ac5736481d46e1aa95564d7,1/11/2016
Zaneta Delmage,Department B,$24.14,21,410 Cascade Circle,Brooklyn,New York,6933f846d9a13de127ed3458d3fbee2f,10/31/2016
Shane Simkins,Department B,$35.67,6,632 Di Loreto Park,Fort Wayne,Indiana,e88e45c5f72e67cd480168adbe24ecd7,1/5/2016
Rutherford Kermath,Department D,$20.27,45,07 Namekagon Crossing,Peoria,Illinois,f5a1ac2e74c8ffc83c4cf51a3269366b,4/3/2016
Jacquette Oakley,Department C,$92.42,53,2789 Mesta Crossing,Sacramento,California,cf31177071d88b9805db6d9170e3eb96,10/25/2016
Rutherford Kermath,Department D,$71.48,20,9 Kim Trail,Washington,District of Columbia,db182eff3624f5194bd1ed1fffa6c71d,8/15/2017
Modesty Berringer,Department D,$4.22,87,3 Buena Vista Junction,Mobile,Alabama,9af6b574a310dd7266528feb719a656e,10/1/2016
Brear Fairs,Department D,$51.17,34,1188 Milwaukee Junction,Mobile,Alabama,0abbb3f8bb4796acde69b804e1653473,3/17/2016
Shane Simkins,Department B,$36.99,66,8 Roth Circle,Cincinnati,Ohio,24054a6079d7442e1aa9e40b8431c4a6,2/7/2017
Nell Lindup,Department C,$36.94,76,255 School Trail,Moreno Valley,California,9fce82cc2d756aaefcb6f1877d0e392f,5/4/2016
Rutherford Kermath,Department D,$68.57,65,3745 Randy Park,Portland,Oregon,432cbc5c594106ae9e8547fa7172e87e,9/18/2016
,,,89,6 Gateway Pass,San Francisco,California,27ac3704260886e47bc0199da1b7e530,12/11/2016
Celestyna Erskine,Department C,$52.50,44,5 Ohio Alley,Lubbock,Texas,aa3277b851e94716b7995c358552853c,7/10/2016
Atlante Harower,Department D,$64.80,67,9843 Scott Avenue,Washington,District of Columbia,8536de19c982a96300cfef35035aae81,1/29/2016
Modesty Berringer,Department D,$86.79,60,437 Hollow Ridge Center,Jersey City,New Jersey,db256057f9252d333e38c5104b3aabba,1/12/2017
Ashleigh Baudinot,Department D,$63.04,69,64 Hazelcrest Avenue,Portland,Oregon,dd1d0899899aebf2bbbf5735ea89c0d2,4/26/2016
Zaneta Delmage,Department B,$55.69,5,6 Anzinger Street,Amarillo,Texas,c573156639e824133d41de06bbeb4962,7/18/2016
Ignacio Arpur,Department A,$30.23,75,16438 Banding Parkway,Atlanta,Georgia,b9d12407dd313528c52afc8a48ed5dcb,6/14/2017
Ignacio Arpur,Department A,$5.97,60,18825 Lerdahl Alley,Ocala,Florida,89d6903788ebf7ce00c0f830693e87c2,5/12/2017
Shena Reeson,Department B,$84.10,76,4816 Texas Court,Dallas,Texas,9e42606700614c8ebc0025faf71e61df,2/12/2017
Shena Reeson,Department B,$10.75,34,216 Mosinee Road,Hartford,Connecticut,29febc30736bf004c980d3711e29b3f1,6/15/2017
Linn Becerra,Department B,$49.91,22,824 Claremont Trail,Fort Smith,Arkansas,c95bf9fb84c77aa5c1b9cae5d3abf668,1/2/2017
Modesty Berringer,Department D,$31.67,40,9 Lukken Lane,Eugene,Oregon,c1414216c6da281ae5837d7222688782,7/25/2016
Jacquette Oakley,Department C,$83.09,83,171 Hoffman Way,San Francisco,California,5101d9692597bdea116fcef029cec0b7,10/20/2016
Linn Becerra,Department B,$90.64,35,48372 Mccormick Avenue,Lake Charles,Louisiana,3f87c06f2cb89e4e740595a9ad7db7bc,3/27/2016
Bartholemy Kment,Department B,$82.05,24,447 Morningstar Pass,Valley Forge,Pennsylvania,653030f5fa07e3230238c0ecf518ce89,7/7/2016
Ortensia Le,Department C,$59.01,84,96525 Burning Wood Alley,Carson City,Nevada,7dbf4a25f286da619617ec1187d3686d,11/6/2016
Bartholemy Kment,Department B,$1.65,58,0 Harbort Junction,Athens,Georgia,50f503d7e45547f0fd0dd3500943b1e9,12/4/2016
Gothart Whimpenny,Department C,$61.44,67,4886 Graedel Park,San Antonio,Texas,249d54bfe8a7962ac44e62ddd9787b6b,11/20/2016
Celestyna Erskine,Department C,$57.33,60,9123 Iowa Way,Cincinnati,Ohio,b8b27e411c3a799fda31b33218e11ea3,4/20/2017
Gothart Whimpenny,Department C,$29.75,33,33939 Russell Avenue,Lansing,Michigan,a4e554a1771b188f80195152aef9cc8e,7/21/2016
Ignacio Arpur,Department A,$61.67,29,2773 Scofield Pass,Orlando,Florida,9d630a488d0998c1211963d712037b3e,4/24/2017
Shane Simkins,Department B,$91.29,30,59 Manitowish Road,Virginia Beach,Virginia,9e2909ba7205cf7aa54e6fc8cf809683,5/14/2016
Krystle Boothe,Department D,$3.43,65,753 Brown Circle,Amarillo,Texas,dff3dfffc13f4ab80a9b1f388c5fd651,1/13/2017
Zaneta Delmage,Department B,$80.39,73,7 Heath Trail,El Paso,Texas,90027c1c9f097999bdd556f7a16d35c3,1/31/2017
Modesty Berringer,Department D,$48.46,2,58594 Del Sol Street,Muskegon,Michigan,35b3630d68d4bf0eedcf60c456de3d9c,5/10/2017
Bartholemy Kment,Department B,$53.15,19,44 Erie Point,Bozeman,Montana,eb32c20d9e36bb91609b4790453a5f2d,1/9/2017
Modesty Berringer,Department D,$1.82,92,75 Westend Avenue,Stamford,Connecticut,ad87ad142457d11743531d7339c2db9f,5/9/2017
Nell Lindup,Department C,$43.66,68,861 South Alley,Jackson,Mississippi,bd892cf0d7b0b38da5ccbebc8c3336c0,4/21/2016
Modesty Berringer,Department D,$46.94,84,6912 Roth Road,Omaha,Nebraska,0dab0e6af2f20ae5498a40b4f5caff5f,7/26/2017
Shane Simkins,Department B,$94.35,80,8 Bartelt Circle,Bronx,New York,54db168ab639013ace6477e8cff57923,4/17/2017
Brear Fairs,Department D,$74.80,4,1 Burning Wood Crossing,Atlanta,Georgia,49e078a6e4854f0573d57b7e8c2f397e,1/1/2017
Atlante Harower,Department D,$6.12,12,34359 Vidon Avenue,Duluth,Minnesota,ef32a9c271dec429a6e9569a4203b564,3/6/2017
Zebedee Kedge,Department A,$69.90,44,334 Northridge Alley,Grand Rapids,Michigan,7eacc0839d2360945b95d142693ca8e4,3/13/2016
Modesty Berringer,Department D,$24.62,69,01666 Loeprich Place,Louisville,Kentucky,5986c83d21d14746ab877a92269b9c5d,6/12/2016
Krystle Boothe,Department D,$82.69,68,58 West Alley,Washington,District of Columbia,2c5a439d886bd9531da77604fd8d9174,3/27/2016
Nell Lindup,Department C,$42.54,22,3 Schlimgen Street,Columbus,Mississippi,553960596210c35751c5e841827807e7,5/4/2017
